Co DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q17
Ni SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q18
Ni DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q18
Cu SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q11
Cu DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q11
Zn SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q12
Zn DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q12
Ga SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q13
Ga DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q13
Ge SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q4
Ge DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q4
As SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q5
As DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q5
Se SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q6
Se DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q6
Br SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q7
Br DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q7
Kr SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q8
Kr DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q8
Rb SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q9
Rb DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q9
Sr SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q10
Sr DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q10
Y  SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q11
Y  DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q11
Zr SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q12
Zr DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q12
Nb SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q13
Nb DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q13
Mo SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q14
